loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age,default,default_amount
4200,11.71,B,6,MORTGAGE,107004,32,0,0
4500,11.49,B,4,MORTGAGE,147884.76,27,1,2455
2000,5.42,A,11,MORTGAGE,100000,26,0,0
5000,5.99,A,6,MORTGAGE,35000,25,0,0
1000,,C,4,RENT,35000,22,0,0
12000,13.61,C,2,RENT,80000,24,0,0
6000,9.76,B,0,RENT,25200,25,1,3327
5000,7.29,A,0,RENT,16800,32,0,0
3300,14.65,C,0,RENT,66000,22,0,0
6000,12.42,B,6,RENT,37500,22,0,0
25000,17.8,F,23,MORTGAGE,80000,36,1,18691
2000,10.36,B,9,RENT,42000,22,0,0
1500,9.91,B,4,MORTGAGE,25632,24,1,571
15000,,C,3,RENT,45000,35,0,0
7000,8.9,A,4,RENT,85000,30,1,4156
13000,11.99,B,5,RENT,70000,39,1,5205
2500,15.31,D,4,MORTGAGE,444000,41,0,0
4000,5.42,A,3,OWN,78386,24,0,0
8000,14.91,D,21,MORTGAGE,99085,26,0,0
2000,7.51,A,4,RENT,18000,25,1,1022
10000,14.96,D,0,RENT,60000,29,0,0
5000,8.94,A,26,MORTGAGE,88000,28,1,2718
5000,14.79,C,6,RENT,41000,21,1,2796
7000,11.78,C,2,OWN,32760,22,0,0
2350,7.88,A,7,RENT,40080,37,0,0
7500,10.99,B,2,RENT,47500,21,1,4151
15550,11.71,B,13,RENT,54000,23,0,0
10000,10.37,B,4,OWN,54996,24,0,0
16000,13.79,C,0,RENT,80000,29,1,6719
6000,6.54,A,0,RENT,53088,31,1,3244
10000,14.84,D,12,RENT,99996,24,1,4946
5000,11.49,B,13,MORTGAGE,119004,45,0,0
3250,13.22,C,1,RENT,18000,23,1,1737
6000,9.99,B,4,RENT,66000,22,0,0
15000,9.76,B,7,MORTGAGE,65000,29,1,8775
12000,,E,2,RENT,85000,25,1,5159
15000,,C,10,MORTGAGE,55000,25,0,0
10000,11.48,B,18,RENT,72858.96,23,0,0
6400,17.49,D,4,RENT,70000,21,0,0
3000,9.62,B,,OWN,12000,28,0,0
24000,11.36,B,7,MORTGAGE,73600,24,0,0
7000,11.89,B,2,MORTGAGE,52000,27,0,0
12500,12.87,C,0,RENT,38000,24,1,6439
4400,6.76,A,0,RENT,25000,24,1,1967
4800,11.54,C,0,RENT,25000,31,0,0
24000,17.26,F,5,MORTGAGE,180000,27,0,0
14000,7.9,A,2,RENT,150000,35,1,6986
12500,12.87,C,0,RENT,54996,24,0,0
3000,6.62,A,19,RENT,35000,25,1,1312
12000,7.49,A,6,RENT,36000,29,1,6695
7500,8,A,7,MORTGAGE,45000,25,1,4920
7500,10.99,B,8,MORTGAGE,85000,27,0,0
3000,9.88,B,2,RENT,58500,23,0,0
13000,15.33,D,3,MORTGAGE,100000,29,1,5549
7500,12.54,C,1,RENT,87360,27,0,0
7100,14.65,C,1,RENT,33000,25,1,2736
9000,,A,2,RENT,39359,23,1,4862
8000,11.26,B,1,OWN,24996,23,1,3636
10000,6.92,A,3,RENT,51000,28,0,0
15000,11.11,B,5,RENT,50000,22,1,8954
2500,12.99,C,2,RENT,68004,29,0,0
5000,10.62,B,4,RENT,24000,23,0,0
3000,14.59,D,9,RENT,32000,34,0,0
11000,10.71,B,0,RENT,60000,27,0,0
3900,14.79,C,0,RENT,20400,31,0,0
1925,10.59,B,2,MORTGAGE,54996,23,0,0
7500,12.18,B,9,RENT,780000,37,0,0
8975,16.02,D,4,RENT,33000,26,0,0
5000,13.47,C,3,RENT,65000,23,1,2731
20000,,B,16,RENT,60000,25,1,12375
1800,9.25,B,1,RENT,75000,26,0,0
6500,,A,1,MORTGAGE,25000,24,0,0
9000,15.31,D,6,RENT,44482,32,0,0
3700,10.99,B,0,MORTGAGE,186000,27,1,2502
10000,10.59,B,2,MORTGAGE,63000,21,0,0
3000,10.65,B,31,MORTGAGE,60000,24,0,0
10000,6.62,A,15,MORTGAGE,91154,55,1,4840
7000,7.51,A,4,MORTGAGE,49000,28,0,0
24250,10.62,B,5,MORTGAGE,90000,34,0,0
10000,14.91,D,13,MORTGAGE,53000,24,1,5956
5000,9.32,A,21,MORTGAGE,50004,26,1,2307
14000,7.88,A,7,RENT,60000,22,0,0
20000,12.42,B,3,RENT,110000,23,1,10392
9800,14.84,D,40,MORTGAGE,74500,23,1,6324
1500,10.75,B,2,RENT,57996,24,1,727
20000,14.91,D,5,MORTGAGE,75000,28,1,7944
9000,7.49,A,7,MORTGAGE,48800,24,0,0
27600,,A,2,RENT,69000,24,0,0
8000,12.69,B,3,RENT,65000,24,0,0
1500,14.17,C,12,RENT,54000,24,1,709
2800,6.99,A,0,RENT,40800,24,0,0
8800,14.59,D,7,RENT,75000,25,1,5779
10000,8.59,A,0,MORTGAGE,51852,23,0,0
10000,9.63,B,5,RENT,50000,23,0,0
20000,,D,11,RENT,42000,21,0,0
4750,11.83,B,12,RENT,19200,34,0,0
7200,12.42,B,5,RENT,48000,22,0,0
5075,,B,4,RENT,36000,22,0,0
3000,20.25,F,0,RENT,29000,25,0,0
5500,11.36,B,2,MORTGAGE,48000,24,1,2207
3200,8,A,1,RENT,44000,24,0,0
4000,17.58,D,3,MORTGAGE,40000,26,0,0
5500,15.23,C,1,RENT,19200,34,0,0
2400,7.88,A,0,RENT,52000,25,0,0
3500,5.42,A,6,RENT,39336,22,0,0
4000,,B,3,RENT,26400,24,1,1799
2000,9.76,B,12,RENT,80004,29,0,0
7500,11.14,B,9,RENT,57000,34,1,5459
10000,9.91,B,4,MORTGAGE,120000,25,0,0
1400,9.32,A,0,OWN,11000,23,1,563
25000,21.64,G,12,RENT,203000,29,1,17330
9600,13.22,C,1,MORTGAGE,62500,23,0,0
14400,12.68,C,4,RENT,70000,24,1,7171
15000,11.48,B,4,MORTGAGE,75000,30,0,0
13250,6.62,A,8,MORTGAGE,69000,21,1,5727
9600,5.79,A,3,OWN,39000,27,0,0
17500,14.35,C,16,RENT,44900,28,0,0
8000,14.46,D,,RENT,23000,25,0,0
12000,10.38,B,4,RENT,30412.8,34,0,0
10000,17.27,D,3,RENT,80000,29,1,6466
15050,9.99,B,4,RENT,37800,30,1,8005
15000,,C,28,OWN,43600,23,1,7333
10000,5.42,A,3,MORTGAGE,42000,25,0,0
5300,17.99,E,2,RENT,36000,22,0,0
7500,15.05,D,3,OTHER,87500,26,0,0
3000,9.91,B,1,MORTGAGE,39996,24,0,0
2500,7.14,A,2,RENT,39400,32,1,1222
11500,12.42,B,0,RENT,38500,27,0,0
8000,6.17,A,8,OWN,75000,23,0,0
33950,14.54,D,3,RENT,80000,22,0,0
1600,14.42,D,15,RENT,8088,46,0,0
20000,19.47,F,13,RENT,150000,41,0,0
12000,10.25,B,0,RENT,31000,22,1,5599
13025,10.14,B,1,MORTGAGE,40000,22,0,0
14400,12.68,C,1,RENT,80000,23,1,6097
8800,8.49,A,,MORTGAGE,83000,27,0,0
3000,9.63,B,2,RENT,14400,21,0,0
5000,10.99,B,21,MORTGAGE,108000,30,0,0
8000,12.68,C,6,MORTGAGE,123000,24,0,0
8000,7.74,A,8,RENT,28000,23,0,0
6500,9.63,B,,MORTGAGE,85000,34,0,0
8000,6.99,A,5,MORTGAGE,60000,22,1,4534
9700,9.63,B,14,MORTGAGE,40800,25,0,0
3000,16.45,E,5,RENT,32400,22,1,1795
2300,14.79,C,3,RENT,30000,39,0,0
16800,15.65,D,1,RENT,80000,24,1,7904
15000,10.25,B,3,MORTGAGE,81120,23,0,0
20000,14.96,D,0,RENT,110000,28,0,0
9500,12.69,B,0,MORTGAGE,52500,22,1,6059
15000,,A,0,MORTGAGE,63000,39,1,8266
12000,11.71,B,0,RENT,50000,21,0,0
7500,12.18,B,2,RENT,26000,26,0,0
6000,5.99,A,31,MORTGAGE,57000,24,1,4103
7000,10.74,B,4,OWN,48000,23,1,2919
12000,7.51,A,2,MORTGAGE,36000,22,0,0
10000,10.99,B,1,RENT,42000,25,0,0
4000,6.76,A,2,MORTGAGE,44470.4,26,1,2652
5000,7.14,A,4,MORTGAGE,45000,21,0,0
5750,9.45,B,1,RENT,95800,31,1,2370
6000,7.88,A,0,RENT,72000,28,0,0
5750,13.57,C,1,MORTGAGE,42000,23,0,0
14400,16,E,2,OWN,34000,29,1,7533
11200,16.77,D,5,RENT,42000,21,1,5065
16000,10.38,B,1,MORTGAGE,50000,30,0,0
3800,6.99,A,17,OWN,20000,30,0,0
24750,14.22,C,6,RENT,49500,25,0,0
15000,7.88,A,5,MORTGAGE,91000,24,0,0
7000,7.88,A,2,MORTGAGE,51000,45,1,3303
10000,8,A,6,MORTGAGE,115000,28,0,0
20000,17.39,E,9,OWN,127000,25,1,10575
12500,10.25,B,4,RENT,60000,23,1,7462
1250,19.29,E,3,MORTGAGE,33000,24,0,0
2000,,C,0,RENT,33600,26,1,777
10000,15.99,D,,MORTGAGE,52000,24,1,5434
12000,5.79,A,11,MORTGAGE,101004,36,0,0
3500,5.79,A,1,RENT,35100,21,0,0
10000,12.69,B,9,RENT,90000,23,1,5074
12000,,A,7,MORTGAGE,172000,26,0,0
9000,6.92,A,3,MORTGAGE,57359,46,1,4769
20000,12.18,B,3,MORTGAGE,78000,33,0,0
18000,11.14,B,6,MORTGAGE,112500,25,0,0
12500,,A,15,MORTGAGE,63550,28,0,0
16000,14.79,C,1,MORTGAGE,110000,24,1,5338
18000,7.88,A,14,RENT,55000,40,0,0
6000,7.68,A,3,MORTGAGE,46000,22,0,0
7000,10.75,B,1,RENT,120000,23,0,0
20000,13.06,C,7,MORTGAGE,114000,27,0,0
4800,13.35,C,3,RENT,60000,27,0,0
5750,7.43,A,18,MORTGAGE,125000,30,0,0
2000,12.98,C,3,RENT,45996,24,0,0
2500,11.49,B,14,RENT,66072,36,1,929
