default,amount,interest,grade,years,ownership,income,age
0,12000,16.77,D,3.0,RENT,50000.0,25
0,14400,8.9,A,0.0,OWN,150000.0,25
0,12000,14.65,C,18.0,RENT,90000.0,28
0,11000,13.49,C,23.0,MORTGAGE,48000.0,26
0,15000,10.99,A,1.0,MORTGAGE,52000.0,37
0,10000,14.27,C,2.0,RENT,68000.0,29
0,11800,12.69,B,6.0,RENT,42000.0,23
0,4500,6.03,A,4.0,RENT,53000.0,40
0,7000,12.69,B,12.0,RENT,35000.0,24
0,9200,12.42,B,2.0,RENT,60000.0,27
0,12000,16.29,D,9.0,RENT,88365.0,28
0,12000,13.49,C,4.0,RENT,72000.0,28
0,12000,10.65,B,0.0,RENT,62000.0,28
0,7000,10.65,B,3.0,MORTGAGE,43680.0,27
0,10500,12.69,B,11.0,RENT,66000.0,31
0,7000,11.71,B,4.0,OWN,39120.0,23
0,3500,6.03,A,11.0,MORTGAGE,83000.0,27
1,6200,9.91,B,2.0,RENT,25000.0,36
0,6000,8.9,A,8.0,OWN,28800.0,26
0,7200,9.91,B,6.0,RENT,135000.0,25
0,9500,8.9,A,7.0,MORTGAGE,50000.0,27
0,24000,10.65,B,15.0,RENT,45000.0,40
0,6000,10.99,C,30.0,RENT,80000.0,32
0,6000,13.49,C,5.0,RENT,50000.0,29
0,2100,12.42,B,21.0,MORTGAGE,30000.0,48
0,5500,6.62,A,8.0,MORTGAGE,110000.0,25
0,11000,6.62,A,8.0,OWN,45608.0,26
0,8000,12.69,B,5.0,MORTGAGE,35000.0,35
1,10000,18.25,D,1.0,RENT,75000.0,24
0,8000,11.71,B,9.0,MORTGAGE,35000.0,24
0,10000,8.9,A,6.0,RENT,24000.0,33
0,12000,11.71,B,2.0,MORTGAGE,126000.0,28
0,10000,7.9,A,1.0,RENT,43000.0,37
0,12000,10.99,B,1.0,RENT,50000.0,26
1,19750,10.65,B,4.0,RENT,45000.0,42
0,10000,9.91,B,3.0,RENT,31200.0,25
0,13650,12.42,B,4.0,RENT,66000.0,45
0,18000,10.99,A,12.0,RENT,56964.0,29
0,2500,14.27,C,7.0,RENT,49500.0,22
0,35000,8.9,A,6.0,MORTGAGE,125000.0,23
0,10000,7.51,A,3.0,RENT,33000.0,25
0,7000,12.69,B,0.0,RENT,30000.0,23
1,24000,15.96,C,8.0,MORTGAGE,90000.0,24
0,10625,7.51,A,5.0,MORTGAGE,23000.0,22
0,5000,14.65,C,2.0,RENT,24000.0,37
0,8850,6.62,A,17.0,RENT,62000.0,24
0,6375,10.99,A,4.0,RENT,44000.0,25
0,6000,11.71,B,1.0,RENT,90000.0,27
1,11100,6.62,A,30.0,RENT,41000.0,38
0,6200,6.03,A,5.0,MORTGAGE,26500.0,44
0,15000,18.64,E,1.0,RENT,54000.0,26
0,4200,11.71,B,2.0,RENT,53000.0,35
0,14000,14.27,C,4.0,RENT,52800.0,23
0,8875,7.51,A,1.0,MORTGAGE,38000.0,26
0,13500,9.91,B,7.0,RENT,38000.0,21
1,12000,9.91,B,2.0,RENT,42000.0,24
0,6000,10.65,B,6.0,MORTGAGE,87000.0,24
1,10000,11.71,B,8.0,RENT,60000.0,46
0,12000,16.29,D,5.0,MORTGAGE,80000.0,26
0,7200,12.42,B,5.0,RENT,48000.0,22
1,5600,14.65,C,1.0,MORTGAGE,85000.0,24
0,12000,10.99,C,0.0,RENT,57000.0,23
0,8500,6.03,A,2.0,RENT,25000.0,23
0,8000,9.91,B,2.0,RENT,34000.0,22
0,8000,12.42,B,14.0,RENT,40000.0,25
0,15000,17.27,D,2.0,MORTGAGE,44400.0,23
0,10000,9.91,B,2.0,OWN,30000.0,32
0,10000,6.62,A,5.0,MORTGAGE,70000.0,23
0,8000,14.65,C,3.0,RENT,28000.0,25
0,22000,9.91,B,2.0,MORTGAGE,50000.0,22
0,6000,14.27,C,14.0,MORTGAGE,94800.0,23
1,2500,7.51,A,4.0,OWN,12000.0,21
0,13500,9.91,B,2.0,MORTGAGE,36000.0,30
0,25000,12.42,B,2.0,RENT,225000.0,30
0,10000,10.99,C,2.0,RENT,45900.0,65
0,2500,13.49,C,4.0,RENT,27200.0,26
0,7325,12.69,B,1.0,RENT,42000.0,23
0,4000,12.42,B,5.0,RENT,135000.0,28
1,10000,13.49,C,5.0,RENT,65000.0,35
1,7750,17.27,D,0.0,RENT,24000.0,24
0,9600,12.42,B,11.0,RENT,65000.0,30
0,14000,10.65,B,3.0,RENT,30000.0,21
0,13350,12.42,B,19.0,RENT,43000.0,31
1,15000,16.77,D,17.0,RENT,42000.0,27
1,15000,10.99,D,8.0,RENT,75000.0,50
0,35000,10.65,B,2.0,MORTGAGE,168000.0,25
0,9000,10.99,B,9.0,MORTGAGE,74000.0,22
1,16000,12.69,B,1.0,RENT,58500.0,22
0,13500,12.69,B,5.0,RENT,71000.0,26
0,24000,12.69,B,13.0,RENT,75000.0,22
0,12000,10.65,B,5.0,RENT,60000.0,26
0,14000,6.62,A,31.0,RENT,66000.0,26
1,12000,10.99,C,8.0,MORTGAGE,70000.0,33
0,25000,11.71,B,12.0,MORTGAGE,100000.0,23
0,9000,12.69,B,5.0,RENT,50000.0,25
0,13250,10.65,B,4.0,RENT,35000.0,28
0,20000,13.49,C,6.0,RENT,75000.0,28
0,3000,14.65,C,5.0,RENT,71000.0,22
0,7350,10.65,B,16.0,MORTGAGE,48000.0,21
0,11500,15.27,C,5.0,RENT,36000.0,30
1,13650,12.42,B,16.0,MORTGAGE,86000.0,32
1,10500,16.29,D,3.0,RENT,30000.0,25
0,12000,9.91,B,2.0,RENT,60000.0,28
0,6000,8.9,A,3.0,RENT,34000.0,27
0,11500,15.27,C,25.0,MORTGAGE,44200.0,27
0,7000,12.42,B,7.0,MORTGAGE,82000.0,26
0,2000,15.27,C,2.0,RENT,41000.0,27
0,11625,13.49,C,0.0,MORTGAGE,36000.0,22
1,15075,10.99,C,14.0,RENT,35000.0,31
0,5300,15.27,C,1.0,RENT,30000.0,25
0,8200,6.62,A,0.0,RENT,40000.0,26
0,12000,10.99,B,9.0,MORTGAGE,105000.0,25
0,8650,14.27,C,4.0,MORTGAGE,45000.0,23
0,12000,12.42,B,2.0,RENT,83000.0,31
1,9500,12.69,B,0.0,MORTGAGE,52500.0,22
0,7400,10.99,C,0.0,OWN,25000.0,26
0,14400,13.49,C,19.0,MORTGAGE,60000.0,28
1,7200,7.9,A,3.0,RENT,68000.0,23
0,4000,7.51,A,0.0,RENT,65000.0,24
0,1500,17.27,D,11.0,MORTGAGE,144000.0,24
0,19600,12.42,B,2.0,RENT,75000.0,22
0,2500,11.71,B,7.0,MORTGAGE,29000.0,54
1,10000,12.69,B,2.0,RENT,70000.0,22
0,10000,6.62,A,5.0,RENT,45000.0,21
0,4225,12.42,B,5.0,MORTGAGE,55200.0,25
0,3500,7.9,A,7.0,MORTGAGE,61440.0,35
0,12000,10.99,A,27.0,MORTGAGE,56000.0,24
0,16500,10.99,A,0.0,RENT,47000.0,26
0,12000,10.99,C,1.0,RENT,71000.0,29
0,10800,10.99,B,8.0,RENT,135000.0,28
0,14000,12.42,B,12.0,MORTGAGE,63000.0,25
0,6000,13.49,C,5.0,MORTGAGE,50000.0,35
0,12000,9.91,B,5.0,RENT,80000.0,24
0,10000,12.42,B,4.0,RENT,45000.0,29
0,8000,7.9,A,2.0,RENT,78000.0,31
0,14125,9.91,B,1.0,RENT,33000.0,25
0,14000,12.69,B,5.0,RENT,62800.0,24
0,4000,19.03,E,19.0,MORTGAGE,80000.0,25
1,4000,12.69,B,2.0,RENT,25000.0,22
0,10500,6.03,A,12.0,MORTGAGE,65000.0,23
0,5500,7.9,A,23.0,OWN,59000.0,34
0,7350,11.71,B,1.0,RENT,33000.0,24
1,10000,12.42,B,10.0,RENT,39000.0,22
0,12000,7.51,A,13.0,RENT,42000.0,32
0,4500,8.9,A,20.0,MORTGAGE,50700.0,24
0,18000,12.42,B,1.0,OWN,75000.0,29
0,12000,13.49,C,6.0,RENT,40000.0,24
0,10000,13.49,C,10.0,MORTGAGE,50000.0,25
0,6000,7.9,A,7.0,MORTGAGE,80000.0,25
0,12000,12.69,B,4.0,RENT,40000.0,27
1,12000,8.9,A,7.0,RENT,80000.0,30
0,7000,11.71,B,2.0,RENT,75000.0,29
0,1400,7.9,A,1.0,RENT,28800.0,29
0,3200,9.91,B,9.0,RENT,61200.0,26
0,8000,7.9,A,1.0,RENT,40000.0,22
0,5000,6.03,A,9.0,MORTGAGE,54000.0,22
0,1800,6.62,A,16.0,RENT,18000.0,21
0,35000,8.9,A,5.0,RENT,85000.0,37
0,18000,8.9,A,5.0,RENT,78000.0,34
1,14000,7.9,A,11.0,OWN,45600.0,23
0,5000,12.42,B,2.0,RENT,70000.0,38
0,8000,15.96,C,4.0,RENT,70000.0,25
0,10000,10.99,A,9.0,MORTGAGE,80000.0,24
0,10000,7.51,A,5.0,RENT,50000.0,23
0,12000,12.42,B,10.0,MORTGAGE,35000.0,23
0,23200,7.9,A,3.0,MORTGAGE,65000.0,31
0,4800,15.27,C,29.0,MORTGAGE,75000.0,25
0,7300,11.71,B,6.0,RENT,35000.0,29
0,10400,9.91,B,6.0,RENT,40000.0,25
0,6600,9.91,B,1.0,MORTGAGE,100000.0,24
0,12000,8.9,A,7.0,OWN,40000.0,21
0,13250,17.27,D,11.0,RENT,52000.0,29
0,12000,11.71,B,3.0,RENT,92500.0,26
0,25000,9.91,B,9.0,RENT,61000.0,28
0,6000,10.99,B,16.0,RENT,36000.0,25
0,12000,7.51,A,18.0,MORTGAGE,68000.0,23
0,14400,11.71,B,1.0,RENT,80000.0,22
0,10000,12.42,B,15.0,RENT,43000.0,27
0,8000,11.71,B,1.0,RENT,150000.0,28
1,8000,16.29,D,5.0,RENT,50000.0,21
0,13250,11.71,B,2.0,OWN,35000.0,37
0,14000,14.27,C,6.0,RENT,80000.0,34
0,10000,16.29,D,15.0,RENT,40000.0,38
0,4000,6.03,A,1.0,RENT,55000.0,45
0,13000,9.91,B,6.0,RENT,110000.0,40
0,28000,12.69,B,5.0,RENT,100000.0,25
0,10000,13.49,C,3.0,RENT,62000.0,23
0,20000,7.9,A,0.0,RENT,45000.0,22
0,18000,9.91,B,5.0,RENT,110000.0,27
0,10000,11.71,B,3.0,RENT,33000.0,26
0,4200,6.03,A,3.0,RENT,61000.0,23
0,24000,16.29,D,2.0,RENT,50964.0,21
0,4475,15.27,C,3.0,RENT,43680.0,28
0,12000,12.42,B,5.0,RENT,50700.0,29
1,5000,12.42,B,2.0,RENT,30000.0,26
0,3000,6.03,A,5.0,RENT,50000.0,25
1,12000,9.91,B,17.0,RENT,55000.0,45
0,20000,15.27,C,13.0,MORTGAGE,50000.0,25
0,10000,10.99,C,3.0,RENT,84000.0,25
0,15000,12.42,B,6.0,OWN,155000.0,32
0,12000,7.9,A,0.0,MORTGAGE,62000.0,26
0,6300,11.71,B,2.0,RENT,30000.0,21
1,10000,11.71,B,5.0,RENT,32000.0,42
1,24000,8.9,A,17.0,MORTGAGE,116400.0,32
0,14400,12.69,B,9.0,MORTGAGE,40000.0,22
0,6000,14.65,C,7.0,RENT,34000.0,32
0,22000,15.96,C,5.0,MORTGAGE,73000.0,22
1,12000,10.99,B,17.0,RENT,57200.0,28
0,16000,16.77,D,0.0,MORTGAGE,114000.0,33
0,10000,10.65,B,14.0,MORTGAGE,90000.0,29
1,10000,12.69,B,2.0,RENT,35000.0,27
0,3500,10.99,C,7.0,RENT,56000.0,23
0,9600,9.91,B,5.0,RENT,35000.0,25
0,9875,7.9,A,15.0,MORTGAGE,40000.0,22
0,4800,7.9,A,6.0,RENT,48000.0,23
0,7800,6.03,A,12.0,OWN,85000.0,30
0,20000,14.27,C,11.0,MORTGAGE,70000.0,26
1,9750,7.51,A,4.0,RENT,35000.0,27
0,5000,6.03,A,9.0,MORTGAGE,30000.0,25
0,9000,14.65,C,4.0,RENT,45000.0,28
0,7200,7.9,A,1.0,RENT,55000.0,25
0,25000,15.27,C,8.0,OWN,82000.0,24
0,10000,15.96,C,13.0,RENT,53000.0,33
1,8875,12.69,B,5.0,MORTGAGE,35360.0,25
0,15550,11.71,B,13.0,RENT,54000.0,23
0,7500,12.69,B,5.0,RENT,65000.0,29
0,8875,8.9,A,6.0,OWN,28800.0,22
0,4500,17.27,D,1.0,RENT,42000.0,21
0,5800,12.42,B,3.0,RENT,36000.0,27
0,10000,11.71,B,2.0,RENT,40000.0,21
0,10000,9.91,B,4.0,RENT,50000.0,35
0,14000,11.71,B,1.0,RENT,52000.0,39
1,12000,10.99,A,3.0,RENT,32000.0,29
0,24000,7.9,A,6.0,OWN,75000.0,23
0,14000,14.27,C,0.0,RENT,80000.0,23
0,12000,8.9,A,7.0,MORTGAGE,40246.0,38
1,8050,12.69,B,1.0,RENT,36000.0,22
0,5600,10.65,B,6.0,RENT,60000.0,22
0,7500,9.91,B,3.0,RENT,31200.0,22
0,7000,11.71,B,15.0,RENT,90000.0,35
0,5400,7.9,A,4.0,RENT,40000.0,29
0,16000,12.42,B,1.0,RENT,90000.0,27
0,9800,16.29,D,4.0,RENT,67000.0,39
0,5000,6.62,A,1.0,RENT,276000.0,28
0,9900,11.71,B,6.0,RENT,26400.0,22
0,4000,11.71,B,4.0,RENT,24000.0,25
0,15000,11.71,B,3.0,MORTGAGE,68400.0,31
0,6250,15.96,C,1.0,RENT,29120.0,25
0,6400,16.29,D,0.0,RENT,29120.0,25
0,12000,15.27,C,4.0,MORTGAGE,54000.0,32
0,15000,10.99,A,5.0,MORTGAGE,30000.0,28
0,6500,14.27,C,4.0,MORTGAGE,30000.0,25
0,8000,15.96,C,16.0,RENT,50000.0,24
0,15000,14.65,C,11.0,MORTGAGE,100500.0,27
0,10200,10.99,C,3.0,RENT,40000.0,26
0,9000,12.42,B,5.0,MORTGAGE,47000.0,28
0,6500,16.29,D,3.0,MORTGAGE,68000.0,25
0,2000,7.9,A,4.0,RENT,39600.0,27
0,8000,13.49,C,3.0,OWN,30000.0,22
0,8875,7.51,A,1.0,RENT,30000.0,25
1,1500,18.64,E,0.0,RENT,17000.0,21
0,8000,12.42,B,3.0,RENT,42000.0,31
0,6500,11.71,B,4.0,RENT,42000.0,20
0,9600,13.49,C,3.0,MORTGAGE,27000.0,21
0,10000,7.9,A,5.0,MORTGAGE,46000.0,40
0,15000,12.42,B,17.0,MORTGAGE,80000.0,23
0,9000,6.62,A,3.0,MORTGAGE,45000.0,25
0,10000,7.9,A,2.0,RENT,72500.0,36
1,1000,14.65,C,4.0,RENT,18408.0,51
0,14000,7.9,A,2.0,RENT,30000.0,24
1,8500,14.27,C,9.0,RENT,50000.0,25
0,4500,15.96,C,5.0,MORTGAGE,65000.0,28
0,3000,7.51,A,18.0,MORTGAGE,65000.0,27
0,10000,9.91,B,4.0,MORTGAGE,120000.0,25
0,7200,15.27,C,4.0,RENT,54990.0,25
0,23000,7.9,A,2.0,MORTGAGE,137000.0,50
0,7000,8.9,A,1.0,RENT,46000.0,34
0,21000,12.69,B,8.0,MORTGAGE,135000.0,24
0,8250,7.51,A,4.0,MORTGAGE,31500.0,25
0,13000,10.99,B,13.0,RENT,65000.0,31
0,18000,6.62,A,2.0,MORTGAGE,78000.0,29
0,7200,6.03,A,5.0,MORTGAGE,60000.0,31
0,16500,8.9,A,11.0,RENT,48000.0,22
0,8125,7.9,A,0.0,RENT,25000.0,21
0,18800,7.51,A,3.0,MORTGAGE,82000.0,35
0,26800,10.99,E,13.0,MORTGAGE,82000.0,42
0,19200,7.9,A,5.0,MORTGAGE,42000.0,24
0,4000,12.42,B,5.0,MORTGAGE,38000.0,23
0,4000,16.29,D,4.0,RENT,35000.0,25
0,12000,9.91,B,13.0,OWN,33000.0,22
0,2625,11.71,B,11.0,MORTGAGE,52800.0,23
0,7000,9.91,B,17.0,RENT,73882.0,39
0,11300,12.69,B,7.0,MORTGAGE,36000.0,23
0,4000,10.99,B,19.0,MORTGAGE,130000.0,30
0,8000,6.03,A,24.0,MORTGAGE,57200.0,21
1,14400,10.99,D,5.0,RENT,51871.0,24
0,4375,12.42,B,2.0,OWN,15000.0,28
0,4100,7.51,A,9.0,MORTGAGE,70197.0,32
0,6000,8.9,A,7.0,RENT,47000.0,24
0,4000,10.99,A,6.0,MORTGAGE,120000.0,44
1,3000,10.65,B,13.0,MORTGAGE,86004.0,25
0,5400,12.69,B,12.0,MORTGAGE,75000.0,23
1,15000,16.29,D,1.0,RENT,110000.0,60
0,10400,12.69,B,4.0,RENT,44000.0,24
0,11500,12.42,B,0.0,RENT,38500.0,27
0,10000,6.62,A,4.0,RENT,75000.0,24
0,3600,8.9,A,11.0,RENT,55000.0,25
1,10000,17.27,D,8.0,RENT,68000.0,32
0,15000,18.25,D,17.0,MORTGAGE,66000.0,24
0,8000,11.71,B,8.0,RENT,85000.0,28
1,16000,7.9,A,1.0,RENT,51000.0,51
0,8000,10.65,B,2.0,RENT,55000.0,23
0,7200,7.51,A,19.0,MORTGAGE,47000.0,41
0,12000,7.51,A,4.0,RENT,86000.0,27
1,2200,15.27,C,11.0,OWN,48000.0,24
0,6000,7.51,A,2.0,MORTGAGE,50000.0,24
0,14400,10.99,C,2.0,RENT,42996.0,22
0,14050,8.9,A,3.0,MORTGAGE,120000.0,33
0,6000,13.49,C,17.0,OWN,62691.0,38
0,10525,7.9,A,4.0,RENT,49668.0,29
0,7200,15.96,C,2.0,RENT,30000.0,31
0,12000,13.49,C,14.0,MORTGAGE,40000.0,26
0,12000,10.99,B,5.0,MORTGAGE,100000.0,39
0,3000,11.71,B,2.0,RENT,56312.0,33
0,9500,16.29,D,10.0,RENT,54011.0,26
0,19775,12.42,B,2.0,RENT,49110.32,30
0,30000,12.42,B,2.0,RENT,80000.0,29
0,16000,10.99,B,9.0,MORTGAGE,55000.0,30
0,14500,14.65,C,8.0,RENT,90000.0,33
0,4150,10.65,B,4.0,RENT,100000.0,23
0,24000,16.77,D,6.0,RENT,70000.0,53
1,21250,12.42,B,5.0,RENT,37000.0,22
0,10000,14.27,C,34.0,OWN,75000.0,30
0,4000,15.96,C,6.0,RENT,39000.0,30
0,15000,11.71,B,0.0,RENT,60000.0,22
0,3600,15.96,C,3.0,RENT,40000.0,23
1,15000,15.27,C,11.0,RENT,60000.0,23
0,12375,7.51,A,6.0,RENT,42000.0,26
1,4000,12.69,B,6.0,RENT,30000.0,27
0,13000,10.65,B,16.0,MORTGAGE,50000.0,22
0,5000,6.62,A,1.0,MORTGAGE,39396.0,22
0,5000,15.96,C,7.0,OWN,98000.0,31
0,26000,11.71,B,16.0,RENT,62500.0,23
0,8000,7.9,A,21.0,RENT,32400.0,22
1,1700,10.99,A,4.0,MORTGAGE,37800.0,34
0,16000,9.91,B,11.0,RENT,50000.0,35
1,12000,14.65,C,6.0,RENT,54400.0,22
0,7000,10.99,B,7.0,MORTGAGE,72800.0,27
1,13000,16.29,D,14.0,RENT,28000.0,26
0,18000,13.49,C,8.0,MORTGAGE,96000.0,30
0,10000,16.29,D,3.0,RENT,83200.0,22
1,11200,12.42,B,3.0,RENT,75000.0,30
0,7000,10.65,B,3.0,RENT,52000.0,23
0,8000,6.03,A,6.0,RENT,57600.0,41
0,12000,17.27,D,2.0,RENT,95000.0,23
0,22000,14.65,C,0.0,RENT,58000.0,25
0,6200,10.65,B,18.0,MORTGAGE,24000.0,36
0,15900,10.99,B,9.0,MORTGAGE,58000.0,29
0,5000,10.99,A,4.0,MORTGAGE,70000.0,26
0,16000,10.99,A,3.0,MORTGAGE,104000.0,33
0,5000,11.71,B,4.0,RENT,35000.0,24
0,3150,15.27,C,5.0,RENT,53000.0,36
1,12000,14.27,C,2.0,RENT,28000.0,23
1,28000,7.9,A,4.0,MORTGAGE,118000.0,24
0,5000,12.42,B,0.0,RENT,40000.0,23
0,3000,9.91,B,4.0,MORTGAGE,42000.0,25
1,3000,7.9,A,11.0,MORTGAGE,65000.0,27
0,8400,6.62,A,2.0,RENT,25000.0,22
0,7000,10.65,B,14.0,MORTGAGE,36000.0,30
0,2000,9.91,B,1.0,MORTGAGE,231252.0,27
1,8575,17.58,D,4.0,MORTGAGE,32000.0,28
0,10000,7.9,A,6.0,RENT,66000.0,27
0,25000,19.42,E,2.0,MORTGAGE,92000.0,29
0,8000,11.71,B,13.0,RENT,70000.0,24
0,25000,11.71,B,8.0,MORTGAGE,76896.0,23
0,2000,10.99,B,24.0,RENT,24000.0,24
0,16800,14.65,C,2.0,RENT,60000.0,22
0,8000,8.9,A,3.0,MORTGAGE,120000.0,32
1,11000,7.9,A,4.0,MORTGAGE,80000.0,26
1,5000,16.29,D,6.0,MORTGAGE,85000.0,33
0,18000,16.29,D,12.0,OWN,140000.0,28
1,10000,12.69,B,6.0,OWN,36000.0,30
0,5000,9.91,B,0.0,RENT,70000.0,34
0,10000,10.99,D,4.0,RENT,51360.0,22
0,25000,9.91,B,4.0,RENT,163000.0,29
0,2400,12.69,B,4.0,MORTGAGE,59393.0,24
1,3000,16.29,D,4.0,MORTGAGE,65000.0,25
1,7700,16.77,D,3.0,RENT,29772.96,23
0,2400,13.49,C,0.0,OWN,12996.0,23
0,5000,10.65,B,1.0,OWN,44475.0,24
0,14000,17.58,D,11.0,MORTGAGE,88000.0,31
0,2400,10.65,B,3.0,MORTGAGE,36000.0,30
0,1800,12.42,B,7.0,RENT,117000.0,27
1,22200,19.42,E,2.0,RENT,160000.0,30
1,13000,7.9,A,10.0,RENT,28000.0,25
0,8000,10.99,B,5.0,RENT,48000.0,23
1,3600,12.69,B,12.0,MORTGAGE,60000.0,26
0,9400,9.91,B,2.0,RENT,45500.0,26
0,9600,14.27,C,6.0,MORTGAGE,156000.0,26
0,17000,10.65,B,1.0,RENT,40000.0,22
0,10800,14.27,C,6.0,MORTGAGE,110000.0,42
0,6000,7.9,A,16.0,RENT,59400.0,24
0,35000,10.99,A,16.0,MORTGAGE,106000.0,22
0,10000,10.99,B,7.0,RENT,36000.0,26
0,5000,12.69,B,2.0,RENT,25000.0,26
1,7100,14.65,C,1.0,RENT,33000.0,25
0,12000,16.77,D,13.0,MORTGAGE,93000.0,25
0,5825,10.65,B,8.0,RENT,50000.0,23
1,22250,12.69,B,2.0,RENT,41000.0,23
0,6000,12.42,B,4.0,RENT,30000.0,22
1,7650,11.71,B,5.0,RENT,57000.0,23
0,13200,7.9,A,6.0,MORTGAGE,62500.0,21
0,12000,7.51,A,0.0,RENT,60000.0,21
0,15000,6.03,A,7.0,RENT,60000.0,26
0,12800,12.42,B,1.0,MORTGAGE,99600.0,25
0,27575,10.99,B,1.0,MORTGAGE,54000.0,27
0,7000,12.69,B,8.0,RENT,49000.0,31
0,10000,14.27,C,4.0,RENT,44160.0,23
0,14125,7.9,A,5.0,RENT,32000.0,23
0,12000,6.62,A,0.0,MORTGAGE,94500.0,35
0,9575,6.62,A,3.0,RENT,19498.0,27
1,12000,15.96,C,9.0,MORTGAGE,88000.0,31
0,10000,12.69,B,4.0,RENT,45000.0,25
0,10000,15.96,C,1.0,RENT,37500.0,25
0,24000,9.91,B,4.0,RENT,120000.0,22
0,14575,10.65,B,7.0,RENT,35000.0,26
0,9000,10.99,A,0.0,MORTGAGE,50000.0,28
1,10000,13.49,C,15.0,RENT,30000.0,46
0,7125,17.58,D,7.0,RENT,25279.67,23
0,13000,13.49,C,6.0,RENT,65000.0,24
1,21600,17.27,D,2.0,MORTGAGE,58600.0,27
0,7000,12.42,B,15.0,RENT,85000.0,26
0,7000,8.9,A,5.0,RENT,45000.0,26
0,3600,17.27,D,7.0,MORTGAGE,44004.0,22
0,3500,12.69,B,11.0,MORTGAGE,84996.0,36
0,5000,8.9,A,6.0,RENT,33000.0,29
0,10000,11.71,B,5.0,MORTGAGE,60000.0,23
0,4500,13.49,C,0.0,OWN,19200.0,36
0,12000,11.71,B,14.0,RENT,62000.0,30
0,10700,12.42,B,4.0,RENT,68000.0,26
0,6000,10.65,B,1.0,RENT,30000.0,22
0,20000,7.9,A,14.0,RENT,50000.0,54
0,3600,13.49,C,1.0,RENT,40000.0,24
0,6000,10.99,A,13.0,RENT,83954.0,23
0,10375,14.27,C,5.0,RENT,35000.0,27
0,25000,8.9,A,4.0,RENT,60000.0,31
0,10000,10.99,D,4.0,RENT,40000.0,27
0,5600,6.03,A,4.0,OWN,41100.0,24
0,6000,12.42,B,4.0,RENT,92000.0,23
0,8000,7.9,A,2.0,RENT,75000.0,23
0,10000,11.71,B,4.0,MORTGAGE,45000.0,23
0,11000,7.51,A,8.0,RENT,48000.0,25
0,5000,9.91,B,6.0,MORTGAGE,110000.0,29
0,6500,10.65,B,0.0,RENT,30600.0,41
0,12000,12.69,B,4.0,RENT,45000.0,23
0,21000,10.99,A,24.0,MORTGAGE,150500.0,39
0,8400,16.77,D,2.0,RENT,32000.0,21
0,7000,12.69,B,5.0,RENT,37500.0,23
