SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,FireplaceQu,LotFrontage
155000,5,1125,2,1125,1,2006,,74.0
320000,7,3222,3,1673,3,1990,TA,90.0
163990,6,1456,2,728,2,2005,Gd,65.0
180000,6,988,2,938,1,1969,TA,
100000,4,1123,1,732,1,1939,,50.0
136000,6,1080,1,1080,1,1958,,75.0
153900,6,1199,2,1199,2,1993,,55.0
181000,6,1586,2,1362,2,1979,TA,48.0
84500,6,754,0,520,1,1935,,60.0
128000,6,958,2,1078,2,1976,TA,
87000,5,840,0,672,1,1930,TA,55.0
155000,6,1348,2,660,1,1966,Fa,69.0
150000,5,1053,2,1008,1,1958,,69.0
226000,7,2157,2,924,2,1966,Gd,88.0
244000,6,2054,2,992,2,2000,TA,
150750,5,1327,2,1063,1,1959,,75.0
220000,8,1296,2,1267,2,2001,,
180000,5,1721,2,1461,2,1968,TA,78.0
174000,7,1682,2,1304,2,1970,Gd,80.0
143000,5,1214,1,1214,2,1967,Fa,
171000,7,1959,3,1907,3,1988,,82.0
230000,8,1852,3,1004,2,1999,TA,73.0
231500,6,1764,2,928,2,1997,,65.0
115000,4,864,0,864,1,1971,Po,70.0
260000,7,1734,2,1734,2,2005,,78.0
166000,5,1385,2,910,2,1952,,71.0
204000,7,1501,2,1490,2,1999,,78.0
125000,5,1728,2,1728,2,1963,,70.0
130000,6,1709,2,970,2,2004,,24.0
105000,5,875,1,715,1,1931,,51.0
222500,7,2035,2,884,2,2001,Gd,
141000,7,1080,0,1080,1,2004,,63.0
115000,5,1344,1,896,1,1936,,
122000,5,969,2,969,1,1975,,120.0
372402,8,1710,3,1710,2,2007,Gd,107.0
190000,6,1993,2,825,2,1971,Gd,
235000,6,1252,2,1602,1,1960,Gd,
125000,6,1200,1,1200,1,1923,,84.0
79000,6,1096,0,572,1,1924,,60.0
109500,5,1040,2,0,1,1950,,60.0
269500,8,1968,3,774,2,2009,Gd,92.0
254900,7,1947,2,991,2,2004,Gd,100.0
320000,7,2462,2,1392,2,2005,Gd,134.0
162500,6,1232,2,1232,2,1984,,
412500,9,2668,3,1572,2,2003,Gd,110.0
220000,7,1541,2,1541,2,2005,Gd,95.0
103200,4,882,0,882,1,1956,,55.0
152000,6,1616,1,1149,2,1926,,40.0
127500,5,1355,0,644,2,1940,,62.0
190000,5,1867,1,1617,1,1955,Gd,
325624,8,2161,3,1582,1,2007,Gd,86.0
183500,7,1720,2,840,2,2004,Gd,62.0
228000,8,1707,2,1686,2,1981,TA,
128500,5,1382,2,720,1,1941,,
215000,6,1656,2,1080,1,1960,Gd,141.0
239000,7,1767,2,1064,2,1987,TA,44.0
163000,6,1362,2,1362,1,1961,TA,80.0
184000,6,1651,2,1606,2,1986,TA,47.0
243000,6,2158,2,1202,2,1950,Gd,84.0
211000,6,2060,2,1151,2,1988,TA,97.0
172500,5,1920,2,1052,2,1958,Gd,
501837,9,2234,3,2216,2,2008,Gd,63.0
100000,5,968,2,968,1,1923,,60.0
177000,6,1525,2,756,2,2000,TA,
200100,7,1802,1,793,1,1920,Gd,54.0
120000,5,1340,1,0,1,1957,Gd,60.0
200000,7,2082,2,1362,2,2003,,63.0
127000,5,1252,2,504,1,1908,,92.0
475000,10,3608,3,1107,2,1892,TA,90.0
173000,7,1217,2,1188,2,1990,,
135000,5,1656,1,660,2,1916,,60.0
153337,5,1224,2,1086,0,1979,TA,64.0
286000,8,1593,2,1593,1,2001,Gd,41.0
315000,8,2727,2,853,2,1932,TA,70.0
184000,7,1479,2,725,1,1972,,
192000,7,1431,2,1431,2,1999,,68.0
130000,7,1709,2,970,2,2004,,24.0
127000,5,864,1,864,1,1972,,60.0
148500,6,1456,2,855,2,1976,TA,24.0
311872,7,1726,3,1726,2,2007,Gd,79.0
235000,8,3112,2,1360,2,1918,Ex,174.0
104000,6,2229,0,755,1,1912,,92.0
274900,8,1713,3,1713,2,2004,Gd,76.0
140000,4,1121,2,1121,2,2003,,80.0
171500,6,1279,2,1196,2,1977,Fa,75.0
112000,6,1310,1,617,2,1924,,50.0
149000,6,848,2,848,1,2004,Gd,
110000,5,1284,1,720,1,1947,,50.0
180500,7,1442,2,1424,2,1990,,99.0
143900,5,1696,1,1140,1,1962,TA,40.0
141000,4,1100,1,1100,1,1960,Po,
277000,7,2062,2,1157,2,1988,Gd,
145000,6,1092,2,1092,1,1964,,75.0
98000,5,864,0,864,1,1925,,67.0
186000,6,1212,2,1212,2,2009,,83.0
252678,7,1852,2,900,2,2009,TA,72.0
156000,5,990,2,990,1,1995,,43.0
161750,6,1392,1,689,1,1977,,
134450,5,1236,1,1070,1,1957,Fa,72.0
210000,7,1436,2,1436,2,2004,,65.0
107000,4,1328,1,686,1,1925,,57.0
311500,7,1954,2,798,1,1939,TA,
167240,7,1248,2,1248,2,2005,,43.0
204900,7,1498,2,1498,2,2006,,73.0
200000,6,2267,2,1010,2,2002,TA,
179900,6,1552,2,713,2,1975,TA,85.0
97000,4,864,2,864,1,1971,,70.0
386250,10,2392,3,2392,2,2003,Ex,103.0
112000,5,1302,1,630,2,1971,,21.0
290000,7,2520,3,1203,2,1995,TA,82.0
106000,6,987,1,483,1,1970,,21.0
125000,5,912,1,912,1,1967,Fa,70.0
192500,7,1555,2,1373,2,2005,TA,43.0
148000,6,1194,1,1194,1,1959,,73.0
403000,8,2794,3,1462,2,1995,TA,174.0
94500,6,987,1,483,1,1972,Po,21.0
128200,5,894,1,894,1,1976,,75.0
216500,6,1960,2,860,2,2002,TA,
89500,6,987,1,483,1,1971,,21.0
185500,7,1414,2,1414,2,2004,,65.0
194500,7,1744,2,996,2,1993,,
318000,8,1694,3,1694,2,2007,,93.0
113000,6,1487,1,735,1,1945,Gd,52.0
262500,8,1566,2,1566,2,2008,,75.0
110500,5,866,0,686,1,1945,,40.0
79000,5,1440,1,540,1,1900,,63.0
120000,6,1217,1,626,1,1980,TA,75.0
205000,7,2110,2,948,2,1994,Fa,
241500,7,1872,2,1845,2,1988,TA,80.0
137000,6,1928,1,1020,2,1910,,69.0
140000,6,1375,2,1367,1,1954,TA,75.0
180000,7,1668,2,840,2,2003,,72.0
277000,6,2144,2,1444,2,1958,TA,
76500,3,1306,0,728,1,1940,,55.0
235000,8,1625,2,1573,2,2006,Gd,44.0
173000,6,1640,2,798,2,2004,,65.0
158000,6,1302,1,1302,2,1964,,85.0
145000,5,1314,1,1314,1,1957,,70.0
230000,7,2291,2,975,2,1999,TA,66.0
207500,6,1728,2,864,2,2003,,64.0
220000,7,1604,2,1604,2,2006,Gd,68.0
231500,7,1792,2,963,2,2001,TA,80.0
97000,5,882,1,0,1,1956,,70.0
176000,6,1382,2,1362,1,1962,TA,120.0
276000,8,2574,3,1482,2,2007,Gd,69.0
151000,6,1212,2,506,1,1977,TA,88.0
130000,5,1316,2,926,1,1929,,50.0
73000,5,764,2,680,1,1925,,30.0
175500,6,1422,2,1422,2,1981,TA,78.0
185000,6,1511,2,802,2,1997,TA,70.0
179500,5,2192,1,720,2,1939,Gd,60.0
120500,5,778,1,740,1,1940,Gd,71.0
148000,6,1113,1,1143,1,1976,Fa,
266000,8,1939,3,1095,2,2006,Gd,84.0
241500,7,1363,2,1385,1,1954,TA,73.0
290000,8,2270,3,1152,2,1999,Gd,92.0
139000,6,1632,1,1240,2,1958,Gd,80.0
124500,5,816,1,816,1,1982,,76.0
205000,7,1548,2,952,2,1925,,55.0
201000,7,1560,2,1560,2,2003,,129.0
141000,4,864,2,864,1,1951,,140.0
415298,9,2121,3,2121,2,2006,Ex,107.0
192000,7,2022,2,1160,2,1977,TA,83.0
228500,7,1982,2,807,2,1989,TA,82.0
185000,6,1262,2,1262,2,2006,,60.0
207500,7,1314,2,1314,2,2007,Gd,34.0
244600,8,1468,3,1468,2,2008,Gd,74.0
179200,6,1575,2,1575,2,1992,,50.0
164700,7,1250,2,625,2,2006,,35.0
159000,6,1734,2,912,1,1962,Gd,77.0
88000,4,858,0,858,1,1971,,
122000,5,900,1,882,1,1967,,
153575,6,1396,1,698,1,1915,,60.0
233230,8,1919,2,1079,2,2006,Gd,120.0
135900,5,1716,0,780,2,1912,,55.0
131000,5,1716,1,768,1,1949,Gd,60.0
235000,7,2263,2,795,2,1977,TA,
167000,6,1644,2,1416,1,1953,Gd,80.0
142500,6,1003,2,1003,1,1984,,37.0
152000,5,1558,1,910,1,1950,,75.0
239000,7,1950,2,975,2,1997,TA,66.0
175000,6,1743,2,702,1,1968,Gd,90.0
158500,6,1152,1,1092,1,1950,Gd,80.0
157000,5,1336,1,1165,1,1953,Gd,90.0
267000,8,2452,2,1028,2,1998,TA,66.0
205000,7,1541,3,1541,2,2001,TA,118.0
149900,5,894,2,894,1,1972,,70.0
295000,7,3493,3,1470,3,1880,Ex,87.0
305900,8,2000,3,2000,2,2004,,80.0
225000,7,2243,3,700,2,1990,TA,116.0
89500,6,1406,0,319,1,1920,,
82500,4,861,2,861,1,1940,,
360000,9,1944,3,1896,2,2003,Ex,90.0
165600,6,1501,2,697,2,1993,TA,
132000,6,972,1,972,1,1948,Gd,50.0
119900,5,1118,2,793,1,1939,Gd,65.0
375000,7,2036,2,2136,2,1965,Gd,150.0
178000,7,1641,2,728,1,1925,Gd,60.0
188500,7,1432,2,716,2,2004,Gd,71.0
260000,7,2353,2,845,2,1980,TA,94.0
270000,8,1959,3,1088,2,2006,Gd,75.0
260000,7,2646,3,1347,2,1993,TA,90.0
187500,7,1472,2,1372,2,1980,TA,
342643,9,2596,3,1249,3,2006,,111.0
354000,8,2468,3,1136,2,2004,Gd,99.0
301000,7,2730,2,1502,2,1986,TA,86.0
126175,3,1163,1,1162,1,1955,,49.0
242000,7,2978,2,710,2,1967,Gd,96.0
87000,5,803,2,720,1,1941,,50.0
324000,8,1719,2,1719,1,1993,Gd,32.0
145250,6,1383,1,1383,1,1960,,80.0
214500,6,2134,2,844,2,1916,,
78000,5,1192,1,596,1,1920,,60.0
119000,5,1728,1,1728,2,1964,,
139000,5,1056,1,1056,1,1958,,70.0
284000,8,1629,3,3206,2,2003,Gd,85.0
207000,7,1358,2,1358,2,2004,Gd,59.0
192000,6,1638,2,943,2,1998,TA,59.0
228950,5,1786,2,1499,2,1965,Gd,
377426,9,1922,3,1922,2,2005,Gd,86.0
214000,7,1536,2,1536,2,2002,,70.0
202500,7,1621,2,1208,2,1984,,91.0
155000,6,1215,1,1215,1,1958,,66.0
202900,8,1908,2,967,2,2002,,85.0
82000,4,841,1,721,1,1950,,60.0
87500,3,1040,2,0,2,1949,,
266000,9,1684,2,1684,2,2005,Ex,63.0
85000,5,1112,1,536,1,1976,,36.0
140200,6,1577,1,972,1,1939,Gd,65.0
151500,6,958,1,958,1,1960,,
157500,6,1478,2,1478,2,1960,Gd,
154000,7,1626,2,764,2,2003,,36.0
437154,9,2728,3,1848,2,2005,Ex,56.0
318061,9,1869,2,1869,2,2007,Gd,68.0
190000,7,1453,2,1453,1,1986,TA,
95000,5,1111,1,616,1,1941,,60.0
105900,6,720,2,624,1,1928,,60.0
140000,6,1595,1,940,1,1940,Gd,60.0
177500,6,1200,2,1200,2,1995,,105.0
173000,6,1167,2,1158,2,1992,,
134000,5,1142,2,1142,1,1976,Po,44.0
130000,5,1352,1,1062,1,1958,,92.0
280000,8,1924,2,1086,2,1998,TA,78.0
156000,6,912,2,888,1,1978,TA,
145000,5,1505,1,883,1,1940,,
198500,7,1922,2,0,3,2003,Ex,64.0
118000,6,987,1,483,1,1972,,21.0
190000,6,1574,2,796,2,1976,TA,
147000,5,1344,1,672,1,1920,,59.0
159000,6,1394,2,1394,1,1963,Gd,
165000,6,1431,1,1099,1,1962,Gd,101.0
132000,5,1268,1,1268,1,1954,Gd,78.0
162000,5,1287,2,1063,1,1959,Gd,
172400,6,1664,2,953,2,2000,TA,
134432,4,1588,2,0,2,1959,Gd,80.0
125000,6,752,1,744,1,1984,,50.0
123000,5,1319,1,608,1,1953,,79.0
219500,7,1928,2,847,2,2003,Gd,65.0
61000,1,904,0,683,0,1922,,
148000,5,914,2,870,1,1996,,57.0
340000,8,2466,2,1580,3,2004,Gd,102.0
394432,9,1856,3,1856,1,2010,Ex,88.0
179000,6,1800,2,982,2,2000,TA,60.0
127000,5,1691,1,1026,2,1924,Gd,50.0
187750,7,1301,2,1293,2,2006,Gd,60.0
213500,7,1797,2,939,2,2006,,79.0
76000,6,784,2,784,1,1928,,60.0
240000,6,1953,2,1580,2,1992,Fa,
192000,8,1269,2,1256,2,2004,TA,43.0
81000,5,1184,0,658,1,1910,,58.0
125000,6,1125,1,1041,1,1976,Fa,72.0
191000,7,1479,2,1468,2,1999,,93.0
426000,10,2332,3,1682,2,2007,Ex,96.0
119000,5,1367,1,861,1,1900,,50.0
215000,6,1961,2,804,2,2001,TA,71.0
106500,5,882,1,0,1,1959,,
100000,4,788,0,788,1,1941,TA,
109000,5,1034,1,735,1,1940,,60.0
129000,5,1144,1,1144,1,1956,,68.0
123000,5,894,2,894,1,1972,,60.0
169500,5,1812,1,864,2,1962,TA,69.0
67000,5,1077,1,961,1,1920,,60.0
241000,7,1550,2,1092,2,2006,,65.0
245500,8,1288,2,1260,1,1996,Gd,38.0
164990,7,1310,2,1310,2,2005,Gd,65.0
108000,5,672,1,672,1,1940,,60.0
258000,8,2263,2,1141,2,1998,TA,93.0
168000,6,1572,2,806,2,1995,TA,
150000,4,1620,2,1281,2,1976,TA,
115000,6,1639,1,1064,1,1936,,51.0
177000,6,1680,1,840,2,1915,,63.0
280000,7,2172,3,1063,2,2006,Gd,109.0
339750,8,2078,3,1034,2,2007,Gd,85.0
60000,5,1276,1,1276,1,1958,,68.0
145000,5,1056,2,1056,1,1955,,100.0
222000,7,1478,2,1470,2,2009,Gd,
115000,5,1028,2,1008,1,1927,Gd,56.0
228000,7,2097,3,1080,2,1993,TA,59.0
181134,7,1340,2,1340,2,2007,,73.0
149500,6,1400,2,672,1,1978,TA,74.0
239000,6,2624,3,1370,2,1918,Gd,86.0
126000,5,1134,1,756,1,1940,,60.0
142000,5,1056,1,1056,1,1968,Fa,65.0
206300,7,1344,4,1344,2,1997,,78.0
215000,6,1602,2,1602,2,1977,TA,
113000,5,988,2,988,1,1954,,100.0
315000,8,2630,3,1470,2,1998,TA,80.0
139000,6,1196,1,1196,1,1956,Gd,72.0
135000,7,1389,1,651,1,1946,Gd,60.0
275000,7,1644,2,1518,2,1989,TA,
109008,4,907,1,907,1,1957,,77.0
195400,7,1208,2,1208,2,2007,,64.0
175000,6,1412,2,1392,2,1988,TA,130.0
85400,6,987,1,483,1,1971,,21.0
79900,6,1198,0,901,1,1920,,60.0
122500,5,1365,2,765,1,1971,,24.0
181000,6,1604,2,926,2,1997,TA,100.0
81000,4,630,0,630,1,1972,,21.0
212000,7,1661,2,799,2,1996,TA,43.0
116000,6,1118,2,648,1,1920,,40.0
119000,6,904,1,884,1,1926,,50.0
90350,5,694,1,440,1,1913,Gd,40.0
110000,6,1196,2,684,1,1920,,67.0
555000,10,2402,3,3094,2,2008,Gd,105.0
118000,4,1440,0,1440,2,1955,,92.0
162900,5,1573,2,1078,2,1930,Gd,52.0
172500,7,1258,3,1258,2,2006,Gd,53.0
210000,7,1908,2,915,2,1994,TA,70.0
127500,6,1689,2,1436,1,1956,Gd,73.0
190000,6,1888,2,1517,2,1966,Gd,137.0
199900,7,1886,2,930,2,1998,TA,
119500,6,1376,1,780,2,1937,Gd,50.0
120000,3,1183,1,649,1,1948,,50.0
110000,6,813,1,813,1,1930,,70.0
280000,7,1533,2,1533,2,1975,TA,62.0
204000,6,1756,2,872,2,1996,,
210000,8,1590,2,768,2,2008,,75.0
188000,5,1728,2,1728,2,1976,,63.0
175500,7,1242,2,1242,1,1973,TA,80.0
98000,5,1344,3,624,1,1916,,34.0
256000,4,1663,2,1364,1,1954,Gd,
161000,8,1666,1,588,1,1925,Gd,
110000,5,1203,1,709,1,1950,TA,
263435,8,1935,2,832,2,2009,,75.0
155000,7,1135,2,560,1,1936,,60.0
62383,5,864,1,864,1,1965,Po,60.0
188700,6,1660,1,715,1,1934,Gd,74.0
124000,5,1040,0,1040,2,1978,,60.0
178740,7,1414,2,1375,2,2004,TA,
167000,7,1277,2,1277,1,1970,Po,85.0
146500,5,1644,1,728,1,1942,Gd,79.0
250000,8,1634,3,1626,2,2006,Gd,98.0
187000,6,1710,2,832,2,1993,,76.0
212000,8,1502,2,1488,1,1985,,
190000,7,1969,2,808,2,1977,Gd,92.0
148000,6,1072,2,547,1,2005,,35.0
440000,8,1976,3,1976,2,2006,Ex,110.0
251000,8,1652,2,1494,2,2000,,41.0
132500,5,970,2,970,1,1963,,80.0
208900,6,1493,2,1478,2,1997,TA,75.0
380000,9,2643,3,2153,2,2006,Gd,105.0
297000,8,1718,3,1705,2,2007,Gd,79.0
89471,4,1131,2,907,1,1937,,50.0
326000,9,1850,3,1833,2,2004,Gd,98.0
374000,9,1792,3,1792,2,2003,Gd,72.0
155000,7,1826,1,910,1,1915,Gd,50.0
164000,6,1216,2,1216,2,1998,,32.0
132500,5,999,1,999,1,1962,,
147000,5,1113,1,1113,1,1950,Gd,80.0
156000,5,1073,2,1073,1,1965,,79.0
175000,5,1484,2,1484,2,1971,TA,70.0
160000,5,2414,2,954,2,1900,Gd,60.0
86000,4,630,1,630,1,1970,,21.0
115000,5,1304,1,264,1,1976,Gd,
133000,6,1578,1,806,1,1941,TA,79.0
172785,6,1456,2,728,2,2006,,105.0
155000,5,1269,1,1269,1,1960,Fa,70.0
91300,5,886,1,190,1,1938,,50.0
34900,4,720,0,720,1,1920,,60.0
430000,8,3228,2,3200,3,1992,Gd,
184000,7,1820,1,1026,2,1925,,60.0
130000,5,899,1,864,1,1967,,65.0
120000,5,912,1,912,1,1958,,70.0
113000,6,1218,1,672,1,1973,,21.0
226700,7,1768,2,866,2,2005,,75.0
140000,5,1214,2,1214,1,1965,,70.0
289000,7,1801,2,1501,2,1959,TA,100.0
147000,6,1322,2,855,2,1974,Fa,24.0
124500,5,1960,2,960,2,1952,,60.0
215000,8,1911,2,777,2,1993,TA,80.0
208300,6,1218,2,1218,2,2009,,75.0
161000,7,1378,2,689,2,1928,Gd,60.0
124500,5,1041,1,1041,1,1959,,80.0
164900,5,1363,1,1008,1,1951,TA,75.0
202665,7,1368,2,1368,2,2005,Gd,40.0
129900,5,864,2,864,1,1958,,70.0
134000,6,1080,2,1084,1,1983,,71.0
96500,5,789,1,768,1,1926,,55.0
402861,10,2020,3,2006,2,2009,Gd,94.0
158000,6,2119,2,689,2,1972,TA,
265000,7,2344,3,1264,2,1996,TA,79.0
211000,6,1796,2,794,2,1998,,
234000,7,2080,1,1276,1,1926,Gd,53.0
106250,4,1294,0,0,2,1900,,60.0
150000,6,1244,1,1244,1,1957,Gd,90.0
159000,6,1664,2,1004,2,1947,Gd,50.0
184750,10,4676,3,3138,3,2007,Gd,130.0
315750,7,2398,3,1379,2,1996,TA,95.0
176000,7,1266,2,1257,2,2005,TA,62.0
132000,5,928,1,928,1,1956,,70.0
446261,9,2713,3,1452,2,2008,Gd,67.0
86000,4,605,0,528,1,1920,,58.0
200624,6,2515,2,2035,3,1957,TA,
175000,6,1509,2,1461,2,1988,Fa,85.0
128000,6,1362,2,611,2,1920,,60.0
107500,5,827,1,0,1,1955,Po,60.0
39300,1,334,0,0,1,1946,,50.0
178000,8,1414,2,707,2,2004,Gd,74.0
107500,5,1347,0,1117,1,1910,,70.0
188000,7,1724,2,880,2,1998,,57.0
111250,4,864,2,864,1,1972,,
158000,5,1159,1,1051,1,1968,Fa,
272000,8,1601,2,1581,2,2001,TA,
315000,9,1838,3,1838,2,2006,Gd,85.0
248000,8,2285,3,969,2,2000,TA,
213250,7,1680,2,1650,2,1998,TA,78.0
133000,7,767,1,723,1,1998,,34.0
179665,7,1496,2,654,2,2006,Gd,58.0
229000,7,2183,3,1204,2,1988,,
210000,6,1635,2,1065,1,1923,Gd,70.0
129500,5,768,2,768,1,1970,,54.0
125000,5,825,2,825,1,1955,,49.0
263000,7,2094,2,912,2,2003,Gd,75.0
140000,6,1069,2,1069,2,1977,,53.0
112500,5,928,1,928,1,1957,,50.0
255500,8,1717,3,1709,2,2006,Gd,87.0
108000,4,1126,2,0,2,1949,,67.0
284000,7,2046,3,998,2,2003,Gd,85.0
113000,5,1048,1,993,1,1922,Gd,58.0
141000,5,1092,1,1092,1,1957,TA,69.0
108000,4,1336,1,637,1,1920,,60.0
175000,7,1446,2,729,2,1996,TA,57.0
234000,7,1557,2,1374,2,2003,TA,
121500,5,1392,2,1392,1,1957,Gd,
170000,5,1389,2,1389,1,1974,TA,77.0
108000,5,996,0,996,1,1940,Gd,63.0
185000,6,1674,2,1163,2,1918,Gd,66.0
268000,7,2295,2,1095,2,1992,TA,
128000,6,1647,1,806,1,1915,,66.0
325000,9,2504,3,1122,2,2005,Gd,77.0
214000,7,1535,2,1517,2,2004,,70.0
316600,8,2132,2,1496,1,1983,Gd,79.0
135960,5,943,2,943,1,1979,TA,
142600,5,1728,2,1728,2,1965,,74.0
120000,6,864,1,864,1,1959,,60.0
224500,7,1692,2,846,2,2009,,83.0
170000,7,1430,2,384,2,2000,TA,76.0
139000,5,1109,1,372,1,1971,,70.0
118500,5,1216,1,832,1,1947,,80.0
145000,7,1477,1,861,2,1928,Gd,52.0
164500,5,1320,2,1164,1,1966,Fa,96.0
146000,7,1392,2,689,2,2007,,34.0
131500,5,1795,1,1050,2,1954,,81.0
181900,6,1429,2,1144,1,1960,Gd,
253293,8,2042,3,2042,2,2008,Gd,98.0
118500,6,816,0,816,1,1990,,81.0
325000,10,2775,2,1237,3,1893,Gd,75.0
133000,4,1573,1,884,1,1935,,51.0
369900,8,2028,3,1868,2,2005,Gd,88.0
130000,6,838,1,816,1,1918,,55.0
137000,5,860,2,840,1,1982,,74.0
143000,5,1473,1,1437,1,1968,Gd,65.0
79500,5,935,1,742,1,1930,,50.0
185900,7,1582,2,770,2,2004,,64.0
451950,10,2296,3,1722,2,2008,Gd,97.0
138000,5,816,2,816,1,1982,,60.0
140000,6,848,2,848,1,2003,,
110000,5,924,1,924,1,1975,,88.0
319000,8,1826,3,1814,2,2005,TA,69.0
114504,6,1368,1,684,1,1910,,60.0
