loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age
10000,7.14,A,18,MORTGAGE,106000,23
4325,5.42,A,1,RENT,48000,23
13000,6.62,A,8,MORTGAGE,80000,37
7000,19.03,E,5,OWN,46800,25
14000,7.88,A,6,MORTGAGE,120000,30
6000,15.21,D,,MORTGAGE,36000,28
5500,13.11,C,4,RENT,15192,21
14000,14.61,D,5,MORTGAGE,480000,34
14775,6.62,A,,MORTGAGE,36000,24
5000,9.76,B,2,MORTGAGE,34500,27
6000,5.79,A,3,RENT,40000,23
6000,14.96,D,5,MORTGAGE,50000,40
9350,12.69,B,7,MORTGAGE,42000,22
2400,8.49,A,3,RENT,22800,31
1200,15.23,C,,RENT,9600,25
3500,14.61,D,0,MORTGAGE,19012.8,21
8800,10.71,B,1,RENT,65500,29
8000,7.29,A,2,RENT,24000,27
25000,10.99,B,19,MORTGAGE,77533.82,47
3500,7.88,A,7,MORTGAGE,49000,24
25000,11.49,B,12,MORTGAGE,118189,25
10000,10.36,B,13,MORTGAGE,82000,32
6000,8.49,A,2,MORTGAGE,33000,30
16000,6.03,A,13,MORTGAGE,90000,22
6725,16.45,E,4,RENT,50760,39
1250,19.29,E,3,MORTGAGE,33000,24
10200,,A,3,MORTGAGE,115200,32
16000,9.45,B,4,OWN,50000,22
20000,,C,4,MORTGAGE,700000,44
2500,16.29,D,2,RENT,22200,21
7275,5.42,A,2,MORTGAGE,16000,30
6500,7.88,A,0,RENT,32000,23
3000,9.88,B,2,RENT,55000,23
10000,10.75,B,5,RENT,51160,24
3600,10,B,3,RENT,54250,46
4750,14.83,D,4,MORTGAGE,25000,27
24000,9.25,B,1,MORTGAGE,81120,40
10675,7.49,A,34,MORTGAGE,61838.4,28
14000,7.91,A,5,RENT,45000,31
7325,12.69,B,1,RENT,42000,23
25000,12.84,C,13,MORTGAGE,104000,24
3000,11.83,B,13,RENT,58000,22
8000,7.9,A,2,RENT,78000,31
14000,7.88,A,16,MORTGAGE,49000,26
22000,17.51,E,1,RENT,94000,25
4000,12.69,B,3,RENT,80000,27
7200,12.69,B,3,RENT,52000,25
4750,14.46,D,1,MORTGAGE,29952,23
6000,8.9,A,20,MORTGAGE,60000,23
1600,12.53,C,3,RENT,25000,24
12000,6.03,A,4,OWN,42000,42
8000,11.49,B,4,MORTGAGE,105600,22
8500,10.99,B,13,MORTGAGE,54000,24
14000,11.26,B,0,RENT,70000,46
9600,13.85,C,5,MORTGAGE,85000,25
2700,7.9,A,3,MORTGAGE,88000,23
5000,,A,6,RENT,54996,31
9000,11.99,B,3,MORTGAGE,48000,29
12000,9.63,B,1,MORTGAGE,160000,25
7300,7.88,A,1,RENT,45999.96,22
11000,6.62,A,8,OWN,45608,26
3000,20.3,E,2,RENT,43000,22
12000,8.94,A,7,MORTGAGE,110000,24
10000,9.32,A,7,MORTGAGE,87204,29
20000,6.99,A,5,MORTGAGE,178650,33
6800,6.03,A,15,MORTGAGE,45000,25
8000,10.99,B,18,MORTGAGE,89000,26
6000,5.42,A,30,OWN,51000,23
14400,7.49,A,11,RENT,57000,24
4000,10.37,B,2,RENT,12600,22
18000,10.38,B,0,RENT,55000,32
9000,11.58,B,7,MORTGAGE,43700,25
6000,7.51,A,16,MORTGAGE,32468.8,28
15200,15.95,E,25,MORTGAGE,123000,32
10000,7.88,A,2,MORTGAGE,75000,26
35000,19.29,E,8,RENT,85000,31
7500,16.29,D,4,MORTGAGE,35000,36
2500,7.49,A,14,MORTGAGE,22000,27
12000,10.38,B,5,MORTGAGE,99996,25
4500,11.99,B,15,MORTGAGE,65000,27
12000,10.99,B,9,MORTGAGE,95000,22
9600,14.22,C,0,RENT,120640,26
13000,16.07,D,1,OTHER,57500,25
1500,7.29,A,0,RENT,30000,21
9600,13.92,C,5,RENT,73000,24
2000,8.49,A,6,MORTGAGE,38423,22
35000,7.9,A,9,MORTGAGE,70000,26
3250,14.59,D,2,RENT,28000,26
2000,11.36,B,8,RENT,57000,25
9475,,C,20,MORTGAGE,66901,29
10000,18.25,D,1,RENT,75000,24
13000,8.88,B,2,OWN,24996,22
4000,,B,5,RENT,63000,22
30000,19.03,E,13,MORTGAGE,81840,42
10000,6.17,A,20,MORTGAGE,120000,29
14000,14.42,D,17,RENT,69996,25
2500,10.99,B,12,MORTGAGE,50400,23
11000,,B,2,RENT,63000,37
2000,7.9,A,5,MORTGAGE,80000,23
6000,6.62,A,0,MORTGAGE,180000,30
5000,14.84,D,0,RENT,38352,26
24250,12.18,B,23,MORTGAGE,106925,23
6000,6.62,A,4,MORTGAGE,53000,25
4000,5.79,A,9,RENT,56000,31
4000,13.06,C,18,OWN,49200,24
6000,6.76,A,7,OWN,45000,22
21000,14.26,C,15,OWN,170000,33
8000,,C,0,RENT,50000,23
7700,6.91,A,0,MORTGAGE,54500,41
3200,7.14,A,1,RENT,20000,23
7200,6.62,A,7,MORTGAGE,82008,35
12000,,A,1,RENT,120000,25
12000,14.72,C,10,OWN,56000,28
25000,15.65,D,11,MORTGAGE,92000,26
10000,,C,5,RENT,36000,29
1200,10.99,B,4,OWN,26000,30
4000,13.98,C,0,RENT,60000,35
15000,,A,5,MORTGAGE,30000,28
6000,12.68,C,2,RENT,75000,30
7000,5.42,A,0,OWN,45000,34
10000,15.65,D,2,RENT,50000,25
3000,5.79,A,1,RENT,26880,27
12000,6.03,A,11,MORTGAGE,72000,24
8000,5.42,A,13,MORTGAGE,31000,24
7000,10.99,B,7,MORTGAGE,26000,26
15000,12.87,C,1,MORTGAGE,130000,23
15000,16.29,D,3,RENT,52800,32
10000,11.14,B,2,MORTGAGE,21600,21
12000,,C,5,RENT,65000,22
25000,14.59,D,0,RENT,75000,36
18225,10.74,B,4,RENT,50000,23
8000,14.96,D,2,RENT,42000,24
7000,14.22,C,0,RENT,36120,26
7000,7.51,A,3,RENT,28800,32
5000,7.66,A,7,MORTGAGE,60000,29
8400,13.11,C,9,MORTGAGE,49641,30
15000,7.91,A,11,MORTGAGE,160000,23
15000,7.51,A,12,MORTGAGE,87000,64
2400,,B,4,MORTGAGE,69684,24
12975,6.91,A,6,MORTGAGE,97000,22
1500,13.99,C,7,RENT,40000,23
6500,,A,5,RENT,50000,36
7500,9.76,B,4,RENT,22596,22
4800,7.9,A,1,RENT,60000,26
5000,9.91,B,12,MORTGAGE,75000,26
19000,11.99,B,4,MORTGAGE,75000,24
10500,13.92,C,2,OWN,70500,23
5000,13.48,C,6,MORTGAGE,48000,35
2850,,A,2,MORTGAGE,114996,42
4800,,C,4,RENT,19200,28
4000,,B,14,MORTGAGE,114000,24
6725,10.62,B,0,OWN,50400,26
15000,17.58,F,2,MORTGAGE,78000,29
8000,10.65,B,11,MORTGAGE,47000,23
6000,13.16,C,2,RENT,47581,30
5400,12.84,C,5,RENT,35000,23
3000,11.49,B,9,RENT,43949,23
7125,7.9,A,1,MORTGAGE,36000,39
20000,6.17,A,10,MORTGAGE,81000,40
20000,13.22,C,8,RENT,76464,36
16000,11.99,B,11,MORTGAGE,80000,22
35000,14.27,C,4,RENT,160000,29
12000,,C,4,RENT,55000,27
17000,11.12,B,7,MORTGAGE,75000,23
1800,11.99,B,2,RENT,19200,40
4700,9.63,A,0,RENT,86000,33
3000,11.66,C,0,MORTGAGE,33000,30
2400,13.47,C,0,RENT,30988.62,31
25000,10.99,B,2,MORTGAGE,83000,26
1000,7.12,A,0,MORTGAGE,120000,28
15000,10.62,B,24,RENT,87000,22
2750,16.95,E,3,RENT,4200,21
5600,15.21,D,9,OWN,96000,27
15000,,A,10,RENT,33000,28
6400,16.82,E,2,RENT,31800,28
20000,12.53,C,4,RENT,68000,25
10000,12.53,C,19,MORTGAGE,90000,31
2000,14.96,D,5,RENT,43680,26
3600,5.99,A,10,MORTGAGE,60000,25
10000,7.49,A,1,RENT,84000,23
5000,14.79,C,3,RENT,60000,38
25000,10.99,B,19,MORTGAGE,120000,32
24500,13.85,C,15,RENT,84200,24
5850,7.49,A,4,RENT,60000,24
11400,7.51,A,10,RENT,30000,25
7000,,A,3,RENT,30000,30
13000,10.62,B,39,RENT,52809.12,34
16000,15.33,D,8,MORTGAGE,95000,24
4500,12.69,B,6,OWN,78000,24
4000,11.86,B,1,RENT,27600,36
12000,19.03,E,3,RENT,62200,29
8000,10.62,B,2,RENT,32000,25
4000,,F,2,MORTGAGE,40900,23
16250,10.99,B,3,MORTGAGE,77940,31
15000,10.25,B,18,MORTGAGE,120000,21
4500,8.49,A,3,RENT,26000,23
9250,5.99,A,10,MORTGAGE,57000,23
12000,13.11,C,5,RENT,50000,28
10000,5.79,A,18,MORTGAGE,79000,25
12000,5.99,A,7,MORTGAGE,85000,24
9000,5.99,A,14,MORTGAGE,64000,25
3600,14.59,D,1,OWN,12996,25
3500,11.89,B,2,MORTGAGE,94896,33
6000,11.36,B,2,RENT,140000,26
6000,12.84,C,0,RENT,35000,31
4200,15.23,C,0,RENT,21600,23
14000,11.26,B,2,OWN,36000,22
6000,7.51,A,6,MORTGAGE,75000,34
5000,5.99,A,0,RENT,65000,26
5000,13.72,C,3,RENT,14400,21
10000,,B,4,OWN,93000,31
14975,12.53,B,2,RENT,30000,34
17000,15.65,D,9,MORTGAGE,95000,26
3600,16.32,D,2,RENT,39996,35
7750,16.45,E,3,RENT,41558,31
4000,6.76,A,0,RENT,68000,25
12000,16.77,D,7,MORTGAGE,60000,25
6000,10.51,B,0,RENT,30000,33
9000,7.51,A,3,RENT,42000,23
6000,11.36,B,1,MORTGAGE,56004,39
5000,,B,2,RENT,19200,24
5000,10.65,B,18,RENT,35000,21
4000,5.79,A,2,RENT,42000,23
3000,6.91,A,3,RENT,28000,28
7000,13.79,C,2,MORTGAGE,72500,29
20000,7.49,A,10,RENT,50000,25
5000,14.61,D,5,MORTGAGE,95000,23
3000,13.06,C,5,RENT,19000,22
3600,6.99,A,8,MORTGAGE,44000,32
15000,11.36,B,2,RENT,48000,29
6000,7.4,A,9,RENT,35392.32,25
8000,12.53,C,2,RENT,45000,33
7200,14.84,D,5,RENT,41316,34
15000,9.01,B,14,RENT,71000,27
12500,13.43,C,0,MORTGAGE,58000,28
2000,11.49,B,2,RENT,50000,27
3000,7.9,A,3,MORTGAGE,75000,34
13600,16.32,D,5,MORTGAGE,90000,28
14000,11.89,B,4,MORTGAGE,84240,49
10000,,B,9,RENT,45000,21
4200,13.11,C,8,RENT,15000,24
10000,10.62,B,3,RENT,36000,21
8000,7.29,A,5,MORTGAGE,70000,46
3000,11.12,B,3,RENT,25000,25
12000,11.99,B,2,RENT,47700,31
15000,15.31,D,5,MORTGAGE,112000,24
25000,16.29,D,3,MORTGAGE,82000,28
10000,16.29,D,15,RENT,40000,38
25000,9.88,B,5,RENT,156000,30
12000,8.94,A,4,RENT,56000,24
30000,12.69,B,18,MORTGAGE,65000,31
10000,6.99,A,7,MORTGAGE,200000,28
8000,12.99,C,5,RENT,30000,26
10000,14.54,D,0,RENT,30000,28
10400,10.37,B,2,RENT,39000,28
8000,5.42,A,11,RENT,53688,26
25000,11.12,B,24,OWN,204000,32
16800,12.42,B,11,RENT,97000,26
13000,10.99,B,2,RENT,92250,29
7000,16.29,D,8,MORTGAGE,62000,45
5200,8.49,A,0,MORTGAGE,61250,39
4000,13.57,C,0,MORTGAGE,81600,31
5650,9.91,B,20,RENT,51000,22
7000,5.42,A,2,MORTGAGE,50000,24
7000,,A,1,MORTGAGE,79000,29
23500,6.91,A,3,MORTGAGE,70000,30
10000,7.88,A,2,RENT,37000,30
12000,,D,21,RENT,75000,24
10725,13.16,C,1,RENT,55000,33
3000,,C,17,RENT,41000,32
4200,5.42,A,11,RENT,93000,27
8000,14.84,D,2,RENT,45000,41
18000,7.51,A,0,MORTGAGE,80000,24
17600,12.42,B,1,OWN,140000,28
3000,7.49,A,5,RENT,38000,27
6000,6.17,A,18,MORTGAGE,80004,24
9000,7.29,A,6,RENT,58000,24
8000,9.91,B,6,RENT,32000,27
24000,11.71,B,9,MORTGAGE,85000,27
16000,15.65,D,23,MORTGAGE,53684,21
6000,8.94,A,8,OWN,32560,38
10000,10.59,B,2,MORTGAGE,63000,23
6000,6.17,A,1,MORTGAGE,54000,25
3000,,B,1,RENT,14400,35
2000,11.11,B,0,OWN,23040,23
12800,14.96,D,9,RENT,71232,21
5500,5.42,A,2,OWN,35000,23
6400,7.88,A,12,MORTGAGE,42000,33
3850,11.11,B,2,MORTGAGE,77000,24
6400,7.74,A,0,RENT,35000,27
18000,13.48,C,31,RENT,36720,21
12000,10,B,6,RENT,41004,29
24000,15.99,D,1,MORTGAGE,107000,22
15000,,B,2,OWN,35000,28
15000,11.48,B,0,MORTGAGE,65000,25
12000,,B,4,MORTGAGE,74000,29
6000,6.54,A,0,RENT,53088,31
20500,13.48,C,2,MORTGAGE,101138,23
9500,5.42,A,5,MORTGAGE,120000,25
3500,5.42,A,0,RENT,42000,25
4500,7.42,A,6,RENT,82560,25
6500,7.75,A,10,OWN,48000,27
7500,17.58,D,15,RENT,38400,26
4000,5.79,A,1,RENT,21000,29
17000,11.48,B,11,RENT,96000,22
10000,12.73,C,3,RENT,35000,24
4000,5.99,A,0,MORTGAGE,60000,25
3625,16.29,D,19,RENT,19800,25
5000,10.99,B,0,RENT,24000,31
12000,13.47,C,7,MORTGAGE,25568,25
3050,7.29,A,6,MORTGAGE,60000,26
14400,,A,4,MORTGAGE,117000,26
7000,7.88,A,5,MORTGAGE,66352,29
4000,15.58,D,8,RENT,27000,21
23450,7.9,A,5,MORTGAGE,95000,28
14000,10.33,B,0,OWN,50000,23
6000,11.46,B,2,RENT,240000,28
6000,14.61,D,14,MORTGAGE,53360.32,26
9000,18.64,E,6,MORTGAGE,70000,26
6000,6.99,A,3,RENT,80000,29
6400,13.06,C,12,MORTGAGE,112774,22
18000,,B,14,MORTGAGE,123504,28
10000,,A,25,RENT,95000,24
8000,12.68,C,7,MORTGAGE,71000,33
10400,16.29,D,14,RENT,65000,25
9000,14.65,C,0,RENT,115000,33
2000,7.49,A,2,RENT,55000,23
14750,7.49,A,21,MORTGAGE,69500,27
12375,10.99,B,5,MORTGAGE,50000,26
7950,15.99,D,,RENT,24000,28
3500,11.71,B,1,RENT,31400,27
4000,9.99,B,20,RENT,72000,31
9500,16.29,D,10,RENT,54011,26
7000,13.61,C,0,RENT,33600,24
14000,7.9,A,12,RENT,72000,24
3000,9.63,B,1,RENT,77200,23
7200,14.74,D,0,OWN,19000,21
12000,11.36,B,9,MORTGAGE,70000,24
2000,6.39,A,1,RENT,37315,25
4000,12.53,B,6,MORTGAGE,54566.04,22
1000,14.27,C,1,RENT,64548,29
10000,10,B,2,RENT,75000,34
2500,18.64,E,0,RENT,51630,22
25000,14.59,D,0,RENT,105000,23
6150,12.21,B,0,RENT,29400,35
5300,7.49,A,3,MORTGAGE,36000,25
2375,10,B,,RENT,9600,21
10000,7.29,A,2,MORTGAGE,110000,34
11000,13.98,C,,OWN,34000,38
24000,10.62,B,1,MORTGAGE,66948,48
11250,14.27,C,2,RENT,40000,36
4000,7.88,A,5,MORTGAGE,102000,31
25000,13.61,C,4,MORTGAGE,75600,27
6250,16.07,D,2,RENT,29100,22
12000,7.29,A,0,RENT,35000,27
10375,14.27,C,3,RENT,41280,25
8400,11.49,B,3,RENT,32000,22
10000,9.07,A,4,MORTGAGE,50000,49
2500,14.84,D,,RENT,10800,35
2400,13.92,C,0,RENT,26400,22
10000,16.32,E,12,RENT,48000,22
6500,10.99,B,2,RENT,45600,26
13500,9.91,B,7,RENT,38000,21
7200,10.59,B,3,MORTGAGE,35000,26
11200,,A,4,RENT,36000,26
1500,13.98,C,1,RENT,54000,26
6375,,A,4,RENT,44000,25
9000,6.62,A,4,MORTGAGE,96000,23
16000,13.49,C,11,MORTGAGE,49578,43
12000,6.92,A,16,MORTGAGE,123600,38
7500,10.33,B,1,RENT,87000,23
10000,6.62,A,8,MORTGAGE,50000,30
6400,11.49,B,5,RENT,30500,25
7000,11.71,B,2,RENT,75000,29
10000,9.91,B,4,RENT,50000,35
18500,13.16,C,6,OWN,55000,23
1200,7.4,A,23,MORTGAGE,60000,26
2500,11.14,B,0,RENT,25000,22
5000,10.39,B,7,RENT,69600,30
13500,10.95,B,6,RENT,43000,22
7500,13.17,D,8,MORTGAGE,80500,22
14500,10.75,B,3,MORTGAGE,80000,27
25000,,C,9,RENT,78000,23
18000,12.87,C,1,OWN,43236,23
10000,,A,14,RENT,62000,22
10000,5.79,A,0,MORTGAGE,80000,25
2000,,B,2,MORTGAGE,126500,25
3500,,C,9,RENT,83500,25
5600,13.49,C,14,MORTGAGE,120000,26
2500,12.69,B,5,RENT,45000,25
12000,14.72,C,0,RENT,53000,28
8550,14.3,D,0,RENT,79000,41
12000,6.17,A,12,RENT,26400,32
3350,,A,6,MORTGAGE,60000,23
16950,18.25,D,2,RENT,55000,21
10000,,B,7,RENT,62322,22
6900,9.99,B,2,MORTGAGE,60000,25
5000,17.39,E,0,OWN,77000,27
1500,16.29,D,0,OWN,48000,22
3200,,B,2,MORTGAGE,160000,32
5000,14.26,C,1,RENT,40000,28
9000,8.49,A,21,RENT,62400,22
25000,11.36,B,18,MORTGAGE,105897,25
6000,12.42,B,0,RENT,30000,24
5000,12.23,C,4,RENT,52000,28
4000,9.45,B,0,RENT,29000,24
12500,14.5,E,2,RENT,60000,24
11700,12.68,C,4,RENT,25000,32
12000,12.42,B,8,RENT,30000,37
7500,13.22,C,1,RENT,72000,21
6000,,B,1,RENT,20000,30
1700,15.23,C,2,RENT,33000,29
20000,14.84,D,4,RENT,68400,24
11200,13.79,C,47,MORTGAGE,72800,24
12000,10.62,B,1,RENT,37392,22
12000,6.03,A,0,MORTGAGE,120000,31
20475,12.72,C,6,MORTGAGE,57996,29
2000,14.35,C,0,RENT,24000,23
10000,6.62,A,0,MORTGAGE,120000,27
10000,14.27,C,57,MORTGAGE,115000,23
16000,13.22,C,14,MORTGAGE,89000,22
5000,7.75,A,0,RENT,45000,23
7000,7.51,A,4,MORTGAGE,57200,22
6700,10.37,B,3,RENT,28600,32
15000,15.96,C,17,MORTGAGE,59800,23
6000,6.76,A,34,RENT,37000,24
13200,16.77,D,6,RENT,80952,26
3600,10.99,B,14,RENT,94438,29
15000,13.43,C,1,RENT,83500,29
15000,12.87,C,9,MORTGAGE,101416,31
6000,6.03,A,21,MORTGAGE,80000,25
3250,6.76,A,1,OWN,67000,23
10800,13.57,C,4,RENT,46000,30
5400,14.61,D,24,RENT,20000,30
10000,7.88,A,3,MORTGAGE,62000,33
6500,8.59,A,0,MORTGAGE,83500,26
5500,14.74,D,4,RENT,30000,40
2800,6.99,A,4,RENT,47000,28
28000,16.49,D,2,MORTGAGE,95000,24
12500,10.25,B,2,RENT,63000,22
6000,6.54,A,3,OWN,27000,22
18000,13.11,C,9,RENT,90000,43
8000,10.99,B,2,RENT,50700,36
20000,16,D,2,RENT,60000,27
7500,6.54,A,0,MORTGAGE,100000,25
5000,12.68,C,8,MORTGAGE,95400,26
5000,13.48,C,4,RENT,54792,27
13650,12.42,B,4,RENT,66000,45
15000,16.77,D,1,RENT,59000,24
20500,13.16,C,2,RENT,70000,23
5000,11.71,B,4,RENT,35000,24
12000,10.65,B,0,RENT,70000,27
5500,11.71,B,1,RENT,18000,25
20000,14.35,C,2,RENT,91229,25
10000,15.27,C,1,OWN,53000,35
5000,8.7,B,5,MORTGAGE,75000,35
1000,6.03,A,2,RENT,40000,23
5800,7.88,A,8,MORTGAGE,152004,26
7200,10.38,B,2,RENT,55700,25
8000,15.58,D,8,MORTGAGE,80000,23
15400,14.26,C,9,RENT,120000,24
10225,17.51,E,0,OWN,60000,36
15000,5.79,A,19,MORTGAGE,120000,33
3000,14.96,D,2,RENT,67000,27
25000,12.53,B,3,MORTGAGE,117000,22
2500,7.51,A,,MORTGAGE,63554.4,24
6000,8.9,A,2,RENT,55000,22
7200,11.71,B,5,RENT,45000,34
7000,5.99,A,6,RENT,52000,38
4900,13.22,C,0,OWN,36000,32
7800,10.36,B,6,MORTGAGE,52000,29
4200,12.23,C,0,RENT,30000,25
6000,,C,8,RENT,49000,25
4000,9.91,B,6,RENT,51600,23
8000,11.36,B,25,RENT,25000,22
6900,12.87,C,0,MORTGAGE,39000,27
11200,12.99,C,1,RENT,63000,28
4000,7.88,A,0,MORTGAGE,148000,24
8800,8.9,A,3,RENT,60000,22
10000,5.79,A,6,MORTGAGE,40000,24
4800,10.65,B,17,MORTGAGE,100000,25
5000,14.27,C,5,MORTGAGE,61400,21
25475,16.29,D,7,MORTGAGE,52800,29
25000,14.09,D,20,MORTGAGE,96000,25
1925,12.18,B,0,RENT,30000,23
14075,14.74,D,5,MORTGAGE,70404,22
14000,11.83,B,0,OTHER,58000,29
4000,7.4,A,7,RENT,50000,22
12000,11.71,B,8,RENT,50000,39
25000,14.46,D,5,RENT,190000,28
6000,10.65,B,0,OWN,48000,25
10000,11.58,B,4,MORTGAGE,29004,46
3250,6.91,A,5,RENT,17004,22
15000,14.27,C,4,MORTGAGE,31200,27
4000,9.25,B,3,MORTGAGE,85000,26
15000,12.73,C,3,RENT,122000,27
1075,,A,0,RENT,38000,23
20000,15.31,D,15,RENT,93600,34
16400,11.03,C,2,RENT,49920,34
4000,14.83,D,0,RENT,35000,21
7000,7.51,A,2,RENT,37000,24
8800,10.59,B,2,RENT,145000,32
19000,11.14,B,5,RENT,54586,23
4000,16.29,D,15,RENT,75000,41
4175,7.74,A,1,OWN,35000,26
27000,7.9,A,5,MORTGAGE,54000,34
2400,18.39,E,7,RENT,38568,36
35000,,A,3,OWN,277000,23
13750,,C,0,MORTGAGE,160000,26
11000,12.53,C,11,RENT,93000,34
14750,12.99,C,6,MORTGAGE,42000,22
5000,,B,8,RENT,150000,24
4000,10.75,B,1,MORTGAGE,55800,25
5000,11.26,B,0,RENT,64500,52
15000,12.21,B,14,MORTGAGE,69996,22
12000,11.58,B,1,RENT,50500,23
10000,,C,4,MORTGAGE,28932,24
7000,11.83,B,4,RENT,31221,22
